Name,PowerState,FolderPath,Host,Datacenter,VMXPath,CPUCores,MemGB,UsedSpaceGB,DatastoreList,NetworkAdapterCount,IPAddressCount
Nfs-share-35,PowerOff,/e-Style0Telecom/virtual_machines,esxi-65-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-ceph-icsi-hdd/Nfs-share-35/Nfs-share-35.vmx,1,2,71,e-Style0Telecom-ceph-icsi-hdd,1,0
Mikrotick-CHR-36,PowerOff,/M1/virtual_machines,esxi-30-M1.vsfi.org,M1,/vmfs/volumes/M1-lenovo-raid-10/Mikrotick-CHR-36/Mikrotick-CHR-36.vmx,2,128,49,M1-lenovo-raid-10,1,0
Workstation-37,PoweredOn,/M1/virtual_machines,esxi-85-M1.vsfi.org,M1,/vmfs/volumes/M1-iscsi-hdd/Workstation-37/Workstation-37.vmx,2,4,86,M1-iscsi-hdd,1,0
ceph-reef-mgmt-node-38,PowerOff,/Colocat/virtual_machines,esxi-2-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-local-hdd/ceph-reef-mgmt-node-38/ceph-reef-mgmt-node-38.vmx,1,32,57,Colocat-local-hdd,2,1
Windows-2019-server39,PowerOff,/Oxygen/virtual_machines,esxi-45-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-ceph-icsi-hdd/Windows-2019-server39/Windows-2019-server39.vmx,4,64,15,Oxygen-ceph-icsi-hdd,1,0
ceph-quincy-mon-node-40,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-71-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-lenovo-raid-10/ceph-quincy-mon-node-40/ceph-quincy-mon-node-40.vmx,2,512,37,e-Style0Telecom-lenovo-raid-10,1,0
Workstation-41,PoweredOn,/Digital-Media-House/virtual_machines,esxi-25-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-ceph-icsi-hdd/Workstation-41/Workstation-41.vmx,3,512,91,Digital-Media-House-ceph-icsi-hdd,3,2
pfSense-42,PowerOff,/Oxygen/virtual_machines,esxi-23-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-ceph-isci-ssh/pfSense-42/pfSense-42.vmx,2,64,39,Oxygen-ceph-isci-ssh,3,2
Windows-10-43,PowerOff,/M1/virtual_machines,esxi-22-M1.vsfi.org,M1,/vmfs/volumes/M1-nfs-test-datastore/Windows-10-43/Windows-10-43.vmx,2,8,67,M1-nfs-test-datastore,1,0
Mikrotick-CHR-44,PoweredOn,/Oxygen/virtual_machines,esxi-91-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-nfs-test-datastore/Mikrotick-CHR-44/Mikrotick-CHR-44.vmx,1,1,85,Oxygen-nfs-test-datastore,4,3
Mikrotick-CHR-45,PoweredOn,/M1/virtual_machines,esxi-99-M1.vsfi.org,M1,/vmfs/volumes/M1-ceph-icsi-hdd/Mikrotick-CHR-45/Mikrotick-CHR-45.vmx,1,8,35,M1-ceph-icsi-hdd,1,0
ceph-reef-osd-node-46,PowerOff,/Mirea/virtual_machines,esxi-13-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-ceph-isci-ssh/ceph-reef-osd-node-46/ceph-reef-osd-node-46.vmx,4,1024,18,Mirea-ceph-isci-ssh,2,1
patroni-prod-47,PoweredOn,/Colocat/virtual_machines,esxi-16-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-nfs-test-datastore/patroni-prod-47/patroni-prod-47.vmx,3,512,40,Colocat-nfs-test-datastore,3,2
Nfs-share-48,PowerOff,/Colocat/virtual_machines,esxi-92-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-iscsi-ssd/Nfs-share-48/Nfs-share-48.vmx,4,32,17,Colocat-iscsi-ssd,4,3
Nfs-share-49,PowerOff,/Mirea/virtual_machines,esxi-42-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-nfs-test-datastore/Nfs-share-49/Nfs-share-49.vmx,3,32,35,Mirea-nfs-test-datastore,4,3
ceph-reef-mon-node-50,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-63-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-local-hdd/ceph-reef-mon-node-50/ceph-reef-mon-node-50.vmx,1,4,95,e-Style0Telecom-local-hdd,1,0
ceph-quincy-osd-node-51,PowerOff,/Digital-Media-House/virtual_machines,esxi-51-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-iscsi-ssd/ceph-quincy-osd-node-51/ceph-quincy-osd-node-51.vmx,3,1,43,Digital-Media-House-iscsi-ssd,3,2
patroni-test-52,PowerOff,/e-Style0Telecom/virtual_machines,esxi-50-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-nfs-test-datastore/patroni-test-52/patroni-test-52.vmx,3,32,88,e-Style0Telecom-nfs-test-datastore,4,3
ceph-quincy-mgmt-node-53,PowerOff,/DataPlanet/virtual_machines,esxi-6-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-ceph-icsi-hdd/ceph-quincy-mgmt-node-53/ceph-quincy-mgmt-node-53.vmx,1,64,84,DataPlanet-ceph-icsi-hdd,2,1
Windows-10-54,PowerOff,/DataPlanet/virtual_machines,esxi-21-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-ceph-icsi-hdd/Windows-10-54/Windows-10-54.vmx,1,512,57,DataPlanet-ceph-icsi-hdd,3,2
patroni-test-55,PoweredOn,/Mirea/virtual_machines,esxi-75-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-iscsi-ssd/patroni-test-55/patroni-test-55.vmx,3,64,94,Mirea-iscsi-ssd,3,2
patroni-test-56,PoweredOn,/Colocat/virtual_machines,esxi-10-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-ceph-icsi-hdd/patroni-test-56/patroni-test-56.vmx,3,4,65,Colocat-ceph-icsi-hdd,3,2
pfSense-57,PowerOff,/dataline/virtual_machines,esxi-41-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-iscsi-hdd/pfSense-57/pfSense-57.vmx,3,4,43,dataline-iscsi-hdd,4,3
ceph-reef-mgmt-node-58,PowerOff,/M1/virtual_machines,esxi-86-M1.vsfi.org,M1,/vmfs/volumes/M1-local-hdd/ceph-reef-mgmt-node-58/ceph-reef-mgmt-node-58.vmx,2,1024,57,M1-local-hdd,3,2
test-esxi-80-59,PoweredOn,/DataPlanet/virtual_machines,esxi-4-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-ssd/test-esxi-80-59/test-esxi-80-59.vmx,4,8,83,DataPlanet-iscsi-ssd,4,3
patroni-dev-60,PowerOff,/Digital-Media-House/virtual_machines,esxi-37-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-iscsi-hdd/patroni-dev-60/patroni-dev-60.vmx,3,4,72,Digital-Media-House-iscsi-hdd,4,3
ceph-quincy-mon-node-61,PowerOff,/Colocat/virtual_machines,esxi-34-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-iscsi-ssd/ceph-quincy-mon-node-61/ceph-quincy-mon-node-61.vmx,3,16,82,Colocat-iscsi-ssd,4,3
ceph-reef-mon-node-62,PowerOff,/Oxygen/virtual_machines,esxi-79-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-local-ssd/ceph-reef-mon-node-62/ceph-reef-mon-node-62.vmx,3,1,99,Oxygen-local-ssd,4,3
ceph-quincy-mgmt-node-63,PowerOff,/M1/virtual_machines,esxi-44-M1.vsfi.org,M1,/vmfs/volumes/M1-local-hdd/ceph-quincy-mgmt-node-63/ceph-quincy-mgmt-node-63.vmx,4,32,72,M1-local-hdd,1,0
Windows-2019-server64,PoweredOn,/Digital-Media-House/virtual_machines,esxi-42-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-local-hdd/Windows-2019-server64/Windows-2019-server64.vmx,2,512,15,Digital-Media-House-local-hdd,2,1
Windows-server65,PoweredOn,/DataPlanet/virtual_machines,esxi-14-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-nfs-test-datastore/Windows-server65/Windows-server65.vmx,4,16,26,DataPlanet-nfs-test-datastore,4,3
Nfs-share-66,PoweredOn,/DataPlanet/virtual_machines,esxi-96-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-local-hdd/Nfs-share-66/Nfs-share-66.vmx,4,16,27,DataPlanet-local-hdd,1,0
ceph-quincy-mon-node-67,PoweredOn,/Digital-Media-House/virtual_machines,esxi-7-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-nfs-test-datastore/ceph-quincy-mon-node-67/ceph-quincy-mon-node-67.vmx,2,128,96,Digital-Media-House-nfs-test-datastore,4,3
Nfs-share-68,PowerOff,/Digital-Media-House/virtual_machines,esxi-81-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-iscsi-ssd/Nfs-share-68/Nfs-share-68.vmx,2,4,57,Digital-Media-House-iscsi-ssd,1,0
ceph-quincy-mon-node-69,PoweredOn,/DataPlanet/virtual_machines,esxi-95-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-lenovo-raid-10/ceph-quincy-mon-node-69/ceph-quincy-mon-node-69.vmx,4,1,55,DataPlanet-lenovo-raid-10,2,1
ceph-reef-mgmt-node-70,PowerOff,/dataline/virtual_machines,esxi-96-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-ceph-isci-ssh/ceph-reef-mgmt-node-70/ceph-reef-mgmt-node-70.vmx,2,16,60,dataline-ceph-isci-ssh,4,3
Windows-server71,PowerOff,/e-Style0Telecom/virtual_machines,esxi-59-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-local-ssd/Windows-server71/Windows-server71.vmx,1,8,48,e-Style0Telecom-local-ssd,1,0
Ubuntu-72,PowerOff,/dataline/virtual_machines,esxi-72-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-lenovo-raid-10/Ubuntu-72/Ubuntu-72.vmx,4,1,77,dataline-lenovo-raid-10,3,2
ceph-quincy-osd-node-73,PoweredOn,/Colocat/virtual_machines,esxi-10-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-iscsi-ssd/ceph-quincy-osd-node-73/ceph-quincy-osd-node-73.vmx,1,512,94,Colocat-iscsi-ssd,4,3
Mikrotick-CHR-74,PoweredOn,/M1/virtual_machines,esxi-95-M1.vsfi.org,M1,/vmfs/volumes/M1-iscsi-ssd/Mikrotick-CHR-74/Mikrotick-CHR-74.vmx,4,512,49,M1-iscsi-ssd,4,3
Windows-10-75,PoweredOn,/M1/virtual_machines,esxi-33-M1.vsfi.org,M1,/vmfs/volumes/M1-local-hdd/Windows-10-75/Windows-10-75.vmx,2,128,66,M1-local-hdd,4,3
test-esxi-80-76,PowerOff,/Oxygen/virtual_machines,esxi-41-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-iscsi-hdd/test-esxi-80-76/test-esxi-80-76.vmx,4,16,56,Oxygen-iscsi-hdd,1,0
ceph-quincy-mon-node-77,PoweredOn,/Oxygen/virtual_machines,esxi-11-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-lenovo-raid-10/ceph-quincy-mon-node-77/ceph-quincy-mon-node-77.vmx,3,128,11,Oxygen-lenovo-raid-10,1,0
Ubuntu-78,PoweredOn,/Oxygen/virtual_machines,esxi-94-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-iscsi-hdd/Ubuntu-78/Ubuntu-78.vmx,1,1,44,Oxygen-iscsi-hdd,3,2
Nfs-share-79,PoweredOn,/Mirea/virtual_machines,esxi-53-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-lenovo-raid-10/Nfs-share-79/Nfs-share-79.vmx,2,128,70,Mirea-lenovo-raid-10,3,2
Nfs-share-80,PowerOff,/Colocat/virtual_machines,esxi-75-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-local-hdd/Nfs-share-80/Nfs-share-80.vmx,3,1024,31,Colocat-local-hdd,1,0
ceph-reef-mgmt-node-81,PowerOff,/e-Style0Telecom/virtual_machines,esxi-41-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-ceph-isci-ssh/ceph-reef-mgmt-node-81/ceph-reef-mgmt-node-81.vmx,3,128,96,e-Style0Telecom-ceph-isci-ssh,2,1
ceph-quincy-mgmt-node-82,PowerOff,/Digital-Media-House/virtual_machines,esxi-21-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-ceph-icsi-hdd/ceph-quincy-mgmt-node-82/ceph-quincy-mgmt-node-82.vmx,1,16,49,Digital-Media-House-ceph-icsi-hdd,3,2
patroni-dev-83,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-63-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-iscsi-hdd/patroni-dev-83/patroni-dev-83.vmx,3,32,16,e-Style0Telecom-iscsi-hdd,4,3
Windows-10-84,PoweredOn,/Digital-Media-House/virtual_machines,esxi-26-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-local-hdd/Windows-10-84/Windows-10-84.vmx,4,128,11,Digital-Media-House-local-hdd,4,3
patroni-prod-85,PowerOff,/Colocat/virtual_machines,esxi-73-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-lenovo-raid-10/patroni-prod-85/patroni-prod-85.vmx,2,2,68,Colocat-lenovo-raid-10,3,2
ceph-reef-mon-node-86,PowerOff,/DataPlanet/virtual_machines,esxi-48-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-nfs-test-datastore/ceph-reef-mon-node-86/ceph-reef-mon-node-86.vmx,3,64,42,DataPlanet-nfs-test-datastore,1,0
ceph-quincy-mgmt-node-87,PoweredOn,/Mirea/virtual_machines,esxi-62-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-iscsi-ssd/ceph-quincy-mgmt-node-87/ceph-quincy-mgmt-node-87.vmx,2,32,30,Mirea-iscsi-ssd,1,0
Windows-10-88,PowerOff,/e-Style0Telecom/virtual_machines,esxi-13-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-local-ssd/Windows-10-88/Windows-10-88.vmx,1,2,21,e-Style0Telecom-local-ssd,4,3
ceph-reef-mon-node-89,PoweredOn,/DataPlanet/virtual_machines,esxi-40-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-ssd/ceph-reef-mon-node-89/ceph-reef-mon-node-89.vmx,2,4,75,DataPlanet-iscsi-ssd,1,0
ceph-quincy-mgmt-node-90,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-32-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-iscsi-hdd/ceph-quincy-mgmt-node-90/ceph-quincy-mgmt-node-90.vmx,4,512,67,e-Style0Telecom-iscsi-hdd,4,3
test-esxi-70-91,PowerOff,/Mirea/virtual_machines,esxi-55-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-ceph-isci-ssh/test-esxi-70-91/test-esxi-70-91.vmx,4,1,55,Mirea-ceph-isci-ssh,2,1
patroni-dev-92,PoweredOn,/Mirea/virtual_machines,esxi-76-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-local-hdd/patroni-dev-92/patroni-dev-92.vmx,3,16,37,Mirea-local-hdd,1,0
test-esxi-67-93,PowerOff,/Oxygen/virtual_machines,esxi-16-Oxygen.vsfi.org,Oxygen,/vmfs/volumes/Oxygen-ceph-isci-ssh/test-esxi-67-93/test-esxi-67-93.vmx,2,8,95,Oxygen-ceph-isci-ssh,4,3
New Virtual Machine-94,PowerOff,/Colocat/virtual_machines,esxi-4-Colocat.vsfi.org,Colocat,/vmfs/volumes/Colocat-local-hdd/New Virtual Machine-94/New Virtual Machine-94.vmx,4,1024,48,Colocat-local-hdd,4,3
bastion-95,PowerOff,/DataPlanet/virtual_machines,esxi-95-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-ssd/bastion-95/bastion-95.vmx,3,64,93,DataPlanet-iscsi-ssd,1,0
New Virtual Machine-96,PowerOff,/Mirea/virtual_machines,esxi-93-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-nfs-test-datastore/New Virtual Machine-96/New Virtual Machine-96.vmx,2,8,25,Mirea-nfs-test-datastore,3,2
ceph-reef-osd-node-97,PowerOff,/DataPlanet/virtual_machines,esxi-92-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-hdd/ceph-reef-osd-node-97/ceph-reef-osd-node-97.vmx,3,16,74,DataPlanet-iscsi-hdd,2,1
bastion-98,PowerOff,/DataPlanet/virtual_machines,esxi-39-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-hdd/bastion-98/bastion-98.vmx,2,1024,15,DataPlanet-iscsi-hdd,1,0
Windows-server99,PoweredOn,/dataline/virtual_machines,esxi-95-dataline.vsfi.org,dataline,/vmfs/volumes/dataline-lenovo-raid-10/Windows-server99/Windows-server99.vmx,4,16,53,dataline-lenovo-raid-10,2,1
Ubuntu-100,PoweredOn,/Digital-Media-House/virtual_machines,esxi-28-Digital-Media-House.vsfi.org,Digital-Media-House,/vmfs/volumes/Digital-Media-House-lenovo-raid-10/Ubuntu-100/Ubuntu-100.vmx,1,1,25,Digital-Media-House-lenovo-raid-10,4,3
Nfs-share-101,PoweredOn,/DataPlanet/virtual_machines,esxi-64-DataPlanet.vsfi.org,DataPlanet,/vmfs/volumes/DataPlanet-iscsi-ssd/Nfs-share-101/Nfs-share-101.vmx,3,128,94,DataPlanet-iscsi-ssd,2,1
patroni-dev-102,PoweredOn,/Mirea/virtual_machines,esxi-48-Mirea.vsfi.org,Mirea,/vmfs/volumes/Mirea-local-hdd/patroni-dev-102/patroni-dev-102.vmx,4,1024,46,Mirea-local-hdd,3,2
New Virtual Machine-103,PoweredOn,/e-Style0Telecom/virtual_machines,esxi-28-e-Style0Telecom.vsfi.org,e-Style0Telecom,/vmfs/volumes/e-Style0Telecom-ceph-icsi-hdd/New Virtual Machine-103/New Virtual Machine-103.vmx,2,16,22,e-Style0Telecom-ceph-icsi-hdd,2,1
